name,type,website,headquarters,aliases,legal_entities,partners
SET Ventures,vc,https://setventures.com,,SET Ventures,SET Ventures GmbH;SET Ventures LP,Till Stenzel;Victoria McIvor;Rene Savelsberg;Ellen Smeele;Julia Padberg
General Catalyst,vc,https://generalcatalyst.com,,General Catalyst;General,General Catalyst GmbH,Spencer Lazar;Micaela Conners;Genevieve Kinney
Coca-Cola European Partners,cvc,https://cocacolaep.com,,Coca-Cola European Partners;Coca-Cola,Coca-Cola European Partners GmbH;Coca-Cola European Partners LP,George Comninos
REMONDIS Digital,vc,https://remondis-digital.com,,REMONDIS Digital;REMONDIS,REMONDIS Digital GmbH,Florian Graniceanu
FTTF,vc,https://fttf.vc,,FTTF,FTTF GmbH,Tobias Schwind
Syngenta group ventures,cvc,https://syngentagroupventures.com,,Syngenta group ventures;Syngenta,Syngenta group ventures GmbH,Shubhang Shankar
Aramco Ventures,cvc,https://aramcoventures.com,,Aramco Ventures;Aramco,Aramco Ventures GmbH;Aramco Ventures LP,Richard Riggs;Richard Riggs;Lisa Schneider;Camilla Guida;Daniel Carter
Repsol,cvc,https://repsol.com,,Repsol,Repsol GmbH,Sandra Blazquez Borras;Carlos Gonzalez Guil;Roberto Ruiz Castillo;Amaia De Manueles Saenz;Juan Rubio Plumed
Nomura,pe,https://nomura.com,,Nomura,Nomura GmbH,Jean-Michel Jean Jean Jean Jean Jean Jean Jean Domard;Keith Tauro;Jimmy Heidt;Alex Stein;Laurent Dallet
Zubi Capital,vc,https://zubicapital.com,,Zubi Capital;Zubi,Zubi Capital GmbH;Zubi Capital LP,Marc Guasch;Lucas De La Vega;Carmen Pumariño;Javier Barros De Lis
K Fund,vc,https://kfund.vc,,K Fund,K Fund GmbH,Josep Duran;Meri Camp;Nadhila Wardhana;Max Bray;Victor Garcia
Nysnø,vc,https://nysnoinvest.no,,Nysnø,Nysnø GmbH,Paal Regdeberg;Lars Hvam;Jean-Baptiste Curien;Guro Skjæveland;Lene Hodge
Adidas Group,cvc,https://adidas-group.com,,Adidas Group;Adidas,Adidas Group GmbH,Carolin Lanfer;Collin Barletta;Sean Porta
Henkel,vc,https://henkel.com,,Henkel,Henkel GmbH,Rahmyn Kress;Dr. Robert Günther;Yannick Sonnenberg;Annika Fichtner;Marius Swart
AddVentures by SCG,cvc,https://addventures.co.th,,AddVentures by SCG;AddVentures,AddVentures by SCG GmbH;AddVentures by SCG LP,
Acton Capital,vc,https://actoncapital.com,,Acton Capital;Acton,Acton Capital GmbH;Acton Capital LP,Tom Rentschler;Elisabeth Löwenbourg-Brzezinski;Christoph Braun;Aline Vedder;Julius Lühr
UnternehmerTUM,vc,https://unternehmertum.de,,UnternehmerTUM,UnternehmerTUM GmbH,Henrike Neulen;Susanne Kadner;Moritz Förster;Inga Holtz;Bettina Scheibe
Grey Silo Ventures,vc,https://greysiloventures.com,,Grey Silo Ventures;Grey,Grey Silo Ventures GmbH;Grey Silo Ventures LP,Matteo Leonardi
OBI.de,cvc,https://obi.de,,OBI.de,OBI.de GmbH,Phil Jenke
ZINTINUS,vc,https://zintinus.com,,ZINTINUS,ZINTINUS GmbH,Christian Neuss;Fabio Ziemssen;Olaf Koch;Sara Böcking;Eugenia Alfine
Crowberry Capital,vc,https://crowberrycapital.com,,Crowberry Capital;Crowberry,Crowberry Capital GmbH;Crowberry Capital LP,Jack Peters;Jack Peters;Jenny Hrafnsdottir
Sustainable Future Ventures,vc,https://sfv.vc,,Sustainable Future Ventures;Sustainable,Sustainable Future Ventures GmbH;Sustainable Future Ventures LP,Carroll Reid;Stock Cal;Conan Lauterpacht
DB Schenker,cvc,https://dbschenker.com,,DB Schenker,DB Schenker GmbH,Paulina Banszerus;Marie Schildt
Creandum,vc,https://creandum.com,,Creandum,Creandum GmbH,Simon Schmincke;Felicitas Hagen;Caspar Barrie;Hanel Baveja;Sabina Wizander
Voima Ventures,vc,https://voimaventures.com,,Voima Ventures;Voima,Voima Ventures GmbH;Voima Ventures LP,Inka Mero
Target Global,vc,https://targetglobal.vc,,Target Global;Target,Target Global GmbH,Alexandra Dombrowski;Lina Chong;Jorge Saez;Ben Kaminski;Olga Shikhantsova
Join Capital,vc,https://join.capital,,Join Capital;Join,Join Capital GmbH;Join Capital LP,Paulina Banszerus;Mira Kamp;Quentin Calleja;Luisa Kraut
SeaX Ventures,vc,https://seaxventures.vc,,SeaX Ventures;SeaX,SeaX Ventures GmbH;SeaX Ventures LP,Beam Vongsuwanlert;Kid Parchariyanon;Weerawat Wongcharoenyai
Swen Capital Partners,vc,https://swen-cp.fr,,Swen Capital Partners;Swen,Swen Capital Partners GmbH;Swen Capital Partners LP,Olivier Raybaud;Christian Lim;Mélanie Le Guen;Prisca Jauffrineau;Floriane Lafore
Notion Capital,vc,https://notion.vc,,Notion Capital;Notion,Notion Capital GmbH;Notion Capital LP,Elisabetta Sakiotis;Michelle Cheng;Stephen Millard;Ines Lestapis;Kamil Mieczakowski
Greenfield One,vc,https://greenfield.one,,Greenfield One;Greenfield,Greenfield One GmbH,Jascha Samadi;Sebastian Blum;Felix Machart;Dennis Unruh;Christian Zimmermann
TransLink Capital,vc,https://translinkcapital.com,,TransLink Capital;TransLink,TransLink Capital GmbH;TransLink Capital LP,Toshiya Otani;Tiffany Huang;Tina Lu;Masanori Yamato;Brian Tomogane
Lead Ventures,vc,https://leadventures.eu,,Lead Ventures;Lead,Lead Ventures GmbH;Lead Ventures LP,Brigitta Illés;Galácz Ábel;Kristóf Székely
Neulogy Ventures,vc,https://neulogy.vc,,Neulogy Ventures;Neulogy,Neulogy Ventures GmbH;Neulogy Ventures LP,Christian Mandl;David Szedely;Jaroslav Luptak
Expedition Growth Capital,vc,https://expedition.capital,,Expedition Growth Capital;Expedition,Expedition Growth Capital GmbH;Expedition Growth Capital LP,Will Sheldon;Julia Kleber;Andrew Rogan
MorphAIs Technologies GmbH,vc,https://morphais.ai,,MorphAIs Technologies GmbH;MorphAIs,MorphAIs Technologies GmbH GmbH,
Swisscom Ventures,cvc,https://ventures.swisscom.com,,Swisscom Ventures;Swisscom,Swisscom Ventures GmbH;Swisscom Ventures LP,Jennifer Webb;Damian Janzi
Umweltbank,pe,https://umweltbank.de,,Umweltbank,Umweltbank GmbH,Jürgen Koppmann;Goran Basic;Thorsten Boiger
ING,pe,https://ing.com,,ING,ING GmbH,Booy Rodermond;Simon Oberle;Joshua Jung;Ali Miraj;Dominic Keyzer
MMC Ventures,vc,https://mmc.vc,,MMC Ventures,MMC Ventures GmbH;MMC Ventures LP,Feike Du;Lucci Levi;Simon Menashy;Mikaela Murekian
Look Up Ventures,vc,https://lookupventures.com,,Look Up Ventures;Look,Look Up Ventures GmbH;Look Up Ventures LP,Jeppe Tranekær
Raiffeisen Bank International,pe,https://rbinternational.com,,Raiffeisen Bank International;Raiffeisen,Raiffeisen Bank International GmbH,Elma Saric;Dr. andrea Gaal;Kamila Gospodarek;Katja Fiedler;Boris Hristov
Hamburger Sparkasse AG,pe,https://haspa.de,,Hamburger Sparkasse AG;Hamburger,Hamburger Sparkasse AG GmbH,Stefanie Von Carlsburg;Marcel Dieckmann;Harald Vogelsang;Andreas Mansfeld;Tobias Lücke
G+D Mobile Security,vc,https://gi-de.com,,G+D Mobile Security,G+D Mobile Security GmbH,Tagscherer Michael;Robert Heinze
HonMun Yip,angel,,,HonMun Yip;HonMun,HonMun Yip GmbH,
Mission One CApital,angel,https://missionone.capital,,Mission One CApital;Mission,Mission One CApital GmbH,Kiel Berry
Moxxie Ventures,angel,https://moxxie.vc,,Moxxie Ventures;Moxxie,Moxxie Ventures GmbH;Moxxie Ventures LP,
Saint-Gobain NOVA,cvc,https://nova-saint-gobain.com,,Saint-Gobain NOVA;Saint-Gobain,Saint-Gobain NOVA GmbH,
Capital Energy,cvc,https://capitalenergy.com,,Capital Energy;Capital,Capital Energy GmbH;Capital Energy LP,
Ara Partners,vc,https://arapartners.com,,Ara Partners,Ara Partners GmbH;Ara Partners LP,Peter Saldarriaga
Finclusive Ventures,vc,https://finclusive.vc,,Finclusive Ventures;Finclusive,Finclusive Ventures GmbH;Finclusive Ventures LP,
GoBeyond,vc,https://gobeyondinvesting.com,,GoBeyond,GoBeyond GmbH,Denise McQuaid
Beyond Impact Advisors,vc,https://beyondimpact.ch,,Beyond Impact Advisors;Beyond,Beyond Impact Advisors GmbH,Sagar Tandon;Claire Smith;Hanna Gabay
Echo River Capital,vc,https://echorivercap.com,,Echo River Capital;Echo,Echo River Capital GmbH;Echo River Capital LP,
Radicle Impact,vc,https://radicleimpact.com,,Radicle Impact;Radicle,Radicle Impact GmbH,
AiiM Partners,vc,https://aiimpartners.com,,AiiM Partners;AiiM,AiiM Partners GmbH;AiiM Partners LP,
Amasia,vc,https://amasia.vc,,Amasia,Amasia GmbH,
Katapult Ocean,vc,https://katapultocean.com,,Katapult Ocean;Katapult,Katapult Ocean GmbH,Jonas Skattum Svegaarden;Marcus Magnussen;Danny Smith;Tharald Nustad;Linn-cecilie Linnemann
Closed Loop Partners,vc,https://closedlooppartners.com,,Closed Loop Partners;Closed,Closed Loop Partners GmbH;Closed Loop Partners LP,
Mazarine Ventures,vc,https://mazarineventures.com,,Mazarine Ventures;Mazarine,Mazarine Ventures GmbH;Mazarine Ventures LP,John Robinson
fresh.fund,vc,https://fresh.fund,,fresh.fund,fresh.fund GmbH,
Ventech,vc,https://ventechvc.com,,Ventech,Ventech GmbH,Charles Fourault;Yakun Ventech;Christian Claussen;Maximilian Eichler;Stephan Wirries
Refactor,vc,https://refactor.com,,Refactor,Refactor GmbH,
Playground Global,vc,https://playground.global,,Playground Global;Playground,Playground Global GmbH,Marissa Huang;Viki Chernow;Marissa Huang
Fifth Wall,vc,https://fifthwall.com,,Fifth Wall;Fifth,Fifth Wall GmbH,Jennifer Place;FRANCESCA WHITEHEAD;Miguel Nigorra;Alec Morgan;Noah Sumait
Nation 1,vc,https://nation1.vc,,Nation 1;Nation,Nation 1 GmbH,
PROfounders Capital,vc,https://profounderscapital.com,,PROfounders Capital;PROfounders,PROfounders Capital GmbH;PROfounders Capital LP,Joe Bond
Nomea,vc,https://nomeainvestments.com,,Nomea,Nomea GmbH,Nadav Steinmetz
Cycle Capital,vc,https://cyclecapital.com,,Cycle Capital;Cycle,Cycle Capital GmbH;Cycle Capital LP,
TMV,vc,https://tmv.vc,,TMV,TMV GmbH,
AgFunder,vc,https://agfunder.com,,AgFunder,AgFunder GmbH,Sofia Ramirez;Quinten Eggink
Powerhouse,vc,https://powerhouse.fund,,Powerhouse,Powerhouse GmbH,Emily Kirsch
TRIREC,vc,https://trirec.co,,TRIREC,TRIREC GmbH,
Fine Structure Ventures,vc,https://finestructure.vc,,Fine Structure Ventures;Fine,Fine Structure Ventures GmbH;Fine Structure Ventures LP,
E²JDJ,vc,https://e2jdj.com,,E²JDJ,E²JDJ GmbH,Stephanie Dorsey
Volta Circle,vc,https://voltacircle.com,,Volta Circle;Volta,Volta Circle GmbH,Jennifer Sanduski;Harley Green;Harley Green
MCJ Collective (My Climate Journey),vc,https://mcjcollective.com,,MCJ Collective (My Climate Journey),MCJ Collective (My Climate Journey) GmbH,Cody Simms;Thai Nguyen
SILENCE,vc,https://silencevc.com,,SILENCE,SILENCE GmbH,Sara Ramos;Borja de los Rios
Grover & Company,vc,https://grover.nz,,Grover & Company;Grover,Grover & Company GmbH,
Activate Capital Partners,vc,https://activatecp.com,,Activate Capital Partners;Activate,Activate Capital Partners GmbH;Activate Capital Partners LP,
MaSa Partners,vc,https://masaimpact.com,,MaSa Partners;MaSa,MaSa Partners GmbH;MaSa Partners LP,
XPV Water Partners,vc,https://xpvwaterpartners.com,,XPV Water Partners,XPV Water Partners GmbH;XPV Water Partners LP,
Starshot Capital,vc,https://starshotcapital.com,,Starshot Capital;Starshot,Starshot Capital GmbH;Starshot Capital LP,
ElevationVC,vc,https://elevationvc.com,,ElevationVC,ElevationVC GmbH,
Creative Ventures,vc,https://creativeventures.vc,,Creative Ventures;Creative,Creative Ventures GmbH;Creative Ventures LP,James Wang
Capital Nature,vc,https://capitalnature.com,,Capital Nature;Capital,Capital Nature GmbH;Capital Nature LP,
ValueTech Seed,vc,https://valuetech.pl,,ValueTech Seed;ValueTech,ValueTech Seed GmbH,
Backbone Ventures,vc,https://backbone.vc,,Backbone Ventures;Backbone,Backbone Ventures GmbH;Backbone Ventures LP,
Teal Impact,vc,https://tealimpact.vc,,Teal Impact;Teal,Teal Impact GmbH,
Valo Ventures,vc,https://valoventures.org,,Valo Ventures;Valo,Valo Ventures GmbH;Valo Ventures LP,
iSELECT FUND,vc,https://iselectfund.com,,iSELECT FUND;iSELECT,iSELECT FUND GmbH,
BoxGroup,vc,https://boxgroup.com,,BoxGroup,BoxGroup GmbH,
GV,cvc,https://gv.com,,GV,GV GmbH,Tom Hulme;Kate Aronowitz;Andy Wheeler;Helen Truong
Accelr8,vc,https://accelr8.com,,Accelr8,Accelr8 GmbH,
PowerPlant Ventures,vc,https://powerplantvc.com,,PowerPlant Ventures;PowerPlant,PowerPlant Ventures GmbH;PowerPlant Ventures LP,
Chrysalix Venture Capital,vc,https://chrysalix.com,,Chrysalix Venture Capital;Chrysalix,Chrysalix Venture Capital GmbH;Chrysalix Venture Capital LP,Giuliana Unger;Alfred Lam;Fred van Beuningen
Kleiner Perkins,vc,https://kleinerperkins.com,,Kleiner Perkins;Kleiner,Kleiner Perkins GmbH,Rajat Bhageria;Andy Chen
Una Terra VS,vc,https://unaterra.vc,,Una Terra VS,Una Terra VS GmbH,Marcella Navarro
Voyager VC,vc,https://voyager-f23f5d.webflow.io,,Voyager VC;Voyager,Voyager VC GmbH,Sierra Peterson;Melissa Luxemberg;Sarah Sclarsic;Steve Markus;Jake Kent
Round Hill Ventures,vc,https://roundhill.ventures,,Round Hill Ventures;Round,Round Hill Ventures GmbH;Round Hill Ventures LP,Jan Gierkes
Circular Innovation Fund,vc,https://circularinnovationfund.com,,Circular Innovation Fund;Circular,Circular Innovation Fund GmbH,Mathieu Goudot
Footprint Coalition,vc,https://footprintcoalition.com,,Footprint Coalition;Footprint,Footprint Coalition GmbH,Jon Shieber
SustainVC,vc,https://sustainvc.com,,SustainVC,SustainVC GmbH,
Future Shape,angel,https://futureshape.com,,Future Shape;Future,Future Shape GmbH,
1955 Capital,vc,https://1955.capital,,1955 Capital;1955,1955 Capital GmbH;1955 Capital LP,
Cerulean Ventures,vc,https://cerulean.vc,,Cerulean Ventures;Cerulean,Cerulean Ventures GmbH;Cerulean Ventures LP,Jahed Momand;Matthew Stotts
Planet Fund,vc,https://planet.fund,,Planet Fund;Planet,Planet Fund GmbH,Camilla Mazzolini;Micol Chiesa;Jamie Rowles
Ship2BVentures,vc,https://ship2bventures.com,,Ship2BVentures,Ship2BVentures GmbH;Ship2BVentures LP,Marc Sabas;Macarena Machimbarrena
Positron Ventures - We help move frontier technologies to market,vc,https://positron.ventures,,Positron Ventures - We help move frontier technologies to market;Positron,Positron Ventures - We help move frontier technologies to market GmbH;Positron Ventures - We help move frontier technologies to market LP,Anna-Lena Schindl;Franka Van Dijken
SOIL Funds Management,vc,https://soilfunds.com,,SOIL Funds Management;SOIL,SOIL Funds Management GmbH,
Rusheen Capital Management,vc,https://rusheen.com,,Rusheen Capital Management;Rusheen,Rusheen Capital Management GmbH;Rusheen Capital Management LP,
Apprecia Partners,vc,https://appreciapartners.com,,Apprecia Partners;Apprecia,Apprecia Partners GmbH;Apprecia Partners LP,
OnePlanet,vc,https://oneplanet.capital,,OnePlanet,OnePlanet GmbH,
Labs/02,vc,https://labs02.com,,Labs/02,Labs/02 GmbH,
Capricorn Investment Group,cvc,https://capricornllc.com,,Capricorn Investment Group;Capricorn,Capricorn Investment Group GmbH,
Emerson Collective,vc,https://emersoncollective.com,,Emerson Collective;Emerson,Emerson Collective GmbH,Joanna Lichter
EIT Urban Mobility,government,https://eiturbanmobility.eu,,EIT Urban Mobility,EIT Urban Mobility GmbH,Dr. Johanna Braun;Pablo Garrido;Celeste Reglá;Johannes Kirschner
Acre Venture Partners,vc,https://acre.vc,,Acre Venture Partners;Acre,Acre Venture Partners GmbH;Acre Venture Partners LP,Darius Zarrabian
Arvantis Group,vc,https://arvantis.group,,Arvantis Group;Arvantis,Arvantis Group GmbH,Jeremias Heinrich;Laura Sommer;Alex Samwer;Jonas Finkele;Meeting Room MUC 3
Climate Capital,angel,https://climatecapital.co,,Climate Capital;Climate,Climate Capital GmbH;Climate Capital LP,Daniel Kriozere;Jennifer Khan;Michael Luciani
Earthshot Ventures,vc,https://earthshot.vc,,Earthshot Ventures;Earthshot,Earthshot Ventures GmbH;Earthshot Ventures LP,Matt Logan
E.R. CAPITAL HOLDING GmbH & Cie,vc,https://er-capital.com,,E.R. CAPITAL HOLDING GmbH & Cie;E.R.,E.R. CAPITAL HOLDING GmbH & Cie GmbH,Erck Rickmers;Friedrich Lass-Hennemann;Jennifer Baumann;Jacob Isenberg;Moritz von Daniels
Fifty Years,vc,https://fiftyyears.com,,Fifty Years;Fifty,Fifty Years GmbH,Shuo Yang;Ania Scigalska;Sara Kemppainen;Alex Teng
IFG,vc,https://ifg.nl,,IFG,IFG GmbH,
Planetocean,pe,https://planetocean.fund,,Planetocean,Planetocean GmbH,Markus Böhm;Olivia Suchy
Urban Impact Agency,vc,https://urbanimpact.agency,,Urban Impact Agency;Urban,Urban Impact Agency GmbH,Dominik Zalewski;Jonas Schorr;Andrea Rosen;Pascal Vilhelmsson
GreenSoil Investments,vc,https://greensoil-investments.com,,GreenSoil Investments;GreenSoil,GreenSoil Investments GmbH,Gideon Soesman
Global Cleantech Capital,vc,https://gccfund.com,,Global Cleantech Capital;Global,Global Cleantech Capital GmbH;Global Cleantech Capital LP,Paul Kloppenborg
Clean Energy Ventures,vc,https://cleanenergyventures.com,,Clean Energy Ventures;Clean,Clean Energy Ventures GmbH;Clean Energy Ventures LP,Daniel Goldman;Shanbor Gupta;Ted Dillon;Victoria Martins;Lou Schick
Yabeo Capital,vc,https://yabeo.de,,Yabeo Capital;Yabeo,Yabeo Capital GmbH;Yabeo Capital LP,Gerrit Seidel;Daniel Pflaum;Saskia Becker;Sara Boecking;Christian Dietsche
WWF Impact Ventures,vc,https://wwf-impact.ventures,,WWF Impact Ventures,WWF Impact Ventures GmbH;WWF Impact Ventures LP,Thomas Vellacot;Sybille Borner
Prithvi Ventures,vc,https://prithvivc.com,,Prithvi Ventures;Prithvi,Prithvi Ventures GmbH;Prithvi Ventures LP,Siddhart Agarwal;Vivekk Soni
Course Corrected,vc,https://cc.vc,,Course Corrected;Course,Course Corrected GmbH,Christine Ahlstrand;Sahaj Kumar
Kompas,vc,https://kompas.vc,,Kompas,Kompas GmbH,Sebastian Peck;Talia Rafaeli;Meg George;Andreas Winter-Extra;Ilena Mece
Eureka Venture,vc,https://eurekaventure.it,,Eureka Venture;Eureka,Eureka Venture GmbH,Stefano Peroncini
Ecosystem Integrity Fund,vc,https://eif.vc,,Ecosystem Integrity Fund;Ecosystem,Ecosystem Integrity Fund GmbH,Brandon Blaesser;Jessica Singh
Fashion For Good,vc,https://fashionforgood.com,,Fashion For Good;Fashion,Fashion For Good GmbH,Brittany Burns;Rogier Van Mazijk
Eneco Innovation & Ventures,cvc,https://eneco.com,,Eneco Innovation & Ventures;Eneco,Eneco Innovation & Ventures GmbH;Eneco Innovation & Ventures LP,A Klapwijk;Ga Bijvoets
LRF - Lantbrukarnas Riksförbund,cvc,https://lrf.se,,LRF - Lantbrukarnas Riksförbund,LRF - Lantbrukarnas Riksförbund GmbH,Johan Englund;Martin Alexandersson;Anton Pedersen
Carbon Removal Partners,vc,https://carbonremoval.partners,,Carbon Removal Partners;Carbon,Carbon Removal Partners GmbH;Carbon Removal Partners LP,Maximilian Zeller;Benjamin Schulz;Karen Strassel;Ramona Achermann
better ventures,vc,https://betterventures.io,,better ventures;better,better ventures GmbH,Christine Schulte;Julia Roblick;Tina Dreimann;Selina Neumann;Valentin Schmitt
RESPOND Accelerator,vc,https://respond-accelerator.com,,RESPOND Accelerator;RESPOND,RESPOND Accelerator GmbH,Fridtjof Detzner;Bennet Barth;Thomas Röhrl;Dr. Johanna Braun;Maya Volwahsen
Tane Ventures,vc,https://taneventures.com,,Tane Ventures;Tane,Tane Ventures GmbH;Tane Ventures LP,
Vorwerk Ventures,vc,https://vorwerkventures.com,,Vorwerk Ventures;Vorwerk,Vorwerk Ventures GmbH;Vorwerk Ventures LP,Holger Witte;Dirk Meurer;Constantin Königsegg;Peter Schmetz;Sascha Guenther
Unternehmertum Venture Capital Partners,vc,https://uvcpartners.com,,Unternehmertum Venture Capital Partners;Unternehmertum,Unternehmertum Venture Capital Partners GmbH;Unternehmertum Venture Capital Partners LP,Caleb Boyd;Lisa Liu;Alexander Kiltz;Amanda-Stella Birkenholz;Andreas Unseld
Hedosophia,vc,https://hedosophia.com,,Hedosophia,Hedosophia GmbH,Tomas Herrmann;Jennifer Jia;Caspar Wahler;Peter Dolan;Alexandre Charlet
VÅR Ventures,vc,https://vaar.vc,,VÅR Ventures,VÅR Ventures GmbH;VÅR Ventures LP,
Planetary Impact Ventures,vc,https://piventures.dk,,Planetary Impact Ventures;Planetary,Planetary Impact Ventures GmbH;Planetary Impact Ventures LP,
Cusp Capital,vc,https://cuspcapital.com,,Cusp Capital;Cusp,Cusp Capital GmbH;Cusp Capital LP,Helmut Klawitter;Katharina Kramer;Johannes Behringer;Jan Sessenhausen;Maximilian Rowoldt
Indico Capital Partners,vc,https://indicocapital.com,,Indico Capital Partners;Indico,Indico Capital Partners GmbH;Indico Capital Partners LP,João Martins
DTCP,vc,https://dtcp.capital,,DTCP,DTCP GmbH,Thomas Preuß;Claudius Laskawy;Joshua Müller;Philip Hunold;Sarah Roehm
HSBC,pe,https://hsbc.com,,HSBC,HSBC GmbH,Dominik von Scheven;Michael Ridley;Thomas O'Malley;Lucy Woodruff;Viola Zheng
Wintershall Dea GmbH,cvc,https://wintershalldea.com,,Wintershall Dea GmbH;Wintershall,Wintershall Dea GmbH GmbH,Carsten Brueckner;Lukas Rode;Azar Azizov;Andreas Berger
NordicNinja VC,vc,https://nordicninja.vc,,NordicNinja VC;NordicNinja,NordicNinja VC GmbH,Tomosaku Sohara;Claes Nilsen;Marek Kiisa;Taiga Ueta
Ponderosa Ventures,vc,https://ponderosavc.com,,Ponderosa Ventures;Ponderosa,Ponderosa Ventures GmbH;Ponderosa Ventures LP,Evi Steyer;Chloë Payne
Almi Företagspartner,government,https://almi.se,,Almi Företagspartner;Almi,Almi Företagspartner GmbH,Karin Edström;Allan Clarke;Jörgen Bodin
Energize Ventures,vc,https://energize.vc,,Energize Ventures;Energize,Energize Ventures GmbH;Energize Ventures LP,Ijeoma Ejimadu;Eileen Waris
Kingstone Schweizer,vc,https://kingstone-schweizer.com,,Kingstone Schweizer;Kingstone,Kingstone Schweizer GmbH,Alexander Hoffmann;Alexander Hoffmann;Valkenberg Miriam
TDK Ventures,cvc,https://tdk-ventures.com,,TDK Ventures,TDK Ventures GmbH;TDK Ventures LP,Tina Toksukhowong;Marc Bouchet;Veronica Vallez
Shell Ventures,cvc,https://shell.com,,Shell Ventures;Shell,Shell Ventures GmbH;Shell Ventures LP,Geert Van De Wouw;Peter Van Giessel;Christian Schwarck;Syrie Crouch;Vinayak Seth
Inovo Venture Partners,vc,https://inovo.vc,,Inovo Venture Partners;Inovo,Inovo Venture Partners GmbH;Inovo Venture Partners LP,
Bpifrance,vc,https://bpifrance.fr,,Bpifrance,Bpifrance GmbH,Sebastien Fiedorow;Alix Malafosse;Valentin Marin;Jana Drzkova;Adam Chour
Octopus Ventures,vc,https://octopusventures.com,,Octopus Ventures;Octopus,Octopus Ventures GmbH;Octopus Ventures LP,Natasha Jones;Zoe Chambers;Lucy Clarke;Amelia Badeni;Renée Godyn
Finindus,vc,https://finindus.be,,Finindus,Finindus GmbH,Hans Maenhout
byFounders,vc,https://byfounders.vc,,byFounders,byFounders GmbH,Eric Lagier;Camille Zivré;Ida Åsle;Casper Bjarnason;Sara Rywe
Nordic FoodTech VC,vc,https://nft.vc,,Nordic FoodTech VC;Nordic,Nordic FoodTech VC GmbH,Lauri Reuter;Mika Kukkurainen
Jolt Capital,vc,https://jolt-capital.com,,Jolt Capital;Jolt,Jolt Capital GmbH;Jolt Capital LP,Laurent Samama
Newfund,vc,https://newfundcap.com,,Newfund,Newfund GmbH,Zoe Mohl;Benjamin Safar
Blue Oceans Partners,vc,https://blueoceanspartners.com,,Blue Oceans Partners;Blue,Blue Oceans Partners GmbH;Blue Oceans Partners LP,
Capagro,vc,https://capagro.fr,,Capagro,Capagro GmbH,Xin Ma;Anouk Veber;Xin Ma
Aster,vc,https://aster.com,,Aster,Aster GmbH,Fabio Lancellotti;Cécile Tirbonod
Sofinnova Partners,vc,https://sofinnovapartners.com,,Sofinnova Partners;Sofinnova,Sofinnova Partners GmbH;Sofinnova Partners LP,Michael Krel;Guillaume Baxter;Anouck Champsaur;Anna Belousova;Josko Bobanovic
Total Carbon Neutrality Ventures,cvc,,,Total Carbon Neutrality Ventures;Total,Total Carbon Neutrality Ventures GmbH;Total Carbon Neutrality Ventures LP,
Seventure Partners,vc,https://seventure.fr,,Seventure Partners;Seventure,Seventure Partners GmbH;Seventure Partners LP,Skerdi Haviari;Oxana Kukhaneva
Anyon Holding,vc,https://anyon.com,,Anyon Holding;Anyon,Anyon Holding GmbH,
Bayern Kapital,government,https://bayernkapital.de,,Bayern Kapital;Bayern,Bayern Kapital GmbH,Monika Steger;Wolfgang Dengler;Georg Ried
SURPLUS Equity Partners,vc,https://surplus-equity.com,,SURPLUS Equity Partners;SURPLUS,SURPLUS Equity Partners GmbH;SURPLUS Equity Partners LP,
PirateImpact,vc,https://pirate.io,,PirateImpact,PirateImpact GmbH,Fabian Heilemann;Ferry Heilemann;Melina Sánchez;Vanessa Brahmi;Catrin Schmidt
Shiocap,vc,https://shiocap.com,,Shiocap,Shiocap GmbH,Timo Meyer
Vireo Ventures,vc,https://vireo.vc,,Vireo Ventures;Vireo,Vireo Ventures GmbH;Vireo Ventures LP,Mischa Wetzel;Felix Krause;Thomas Labryga
WestTech Ventures,vc,https://westtechventures.com,,WestTech Ventures;WestTech,WestTech Ventures GmbH;WestTech Ventures LP,Fabian Leipelt;Masoud Kamail;Justina Kilinski
DX Ventures,cvc,https://dxventures.vc,,DX Ventures,DX Ventures GmbH;DX Ventures LP,
Oyster Bay,vc,https://oysterbay.vc,,Oyster Bay;Oyster,Oyster Bay GmbH,Felix Leonhardt;Maximilian Priebe;Christoph Miller;Sommer Heike;Jean-Guillaume Marquaire
Picus Capital,vc,https://picuscap.com,,Picus Capital;Picus,Picus Capital GmbH;Picus Capital LP,Jeremias Heinrich;Alex Samwer;Katryna Nolan;Bastian Hasslinger;Robin Godenrath
Katjesgreenfood,cvc,https://katjesgreenfood.berlin,,Katjesgreenfood,Katjesgreenfood GmbH,
BitStone Capital,vc,https://bitstone.capital,,BitStone Capital;BitStone,BitStone Capital GmbH;BitStone Capital LP,Julia Trulley;Lukas Stallmeier
Deutsche Bahn Digital Ventures,cvc,https://deutschebahnventures.de,,Deutsche Bahn Digital Ventures;Deutsche,Deutsche Bahn Digital Ventures GmbH;Deutsche Bahn Digital Ventures LP,Manuel Gerres;Mehmet Cabadak;Karoline Malzbender;Tatjana Winter
Athenix,cvc,https://athenixcorp.com,,Athenix,Athenix GmbH,
Robert Bosch Venture Capital,cvc,https://rbvc.com,,Robert Bosch Venture Capital;Robert,Robert Bosch Venture Capital GmbH;Robert Bosch Venture Capital LP,Uhl Heribert
Senovo,vc,https://senovo.vc,,Senovo,Senovo GmbH,Frederick Mallinckrodt
